CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Female,24,29,40
2,Female,21,16,16
3,Female,22,24,26
4,Female,24,26,29
5,Male,20,16,38
6,Female,25,24,13
7,Male,22,28,39
8,Male,22,18,14
9,Female,24,28,32
10,Male,19,29,16
11,Male,20,30,22
12,Male,24,29,24
13,Female,20,22,20
14,Female,20,28,38
15,Male,25,21,13
16,Female,22,26,22
17,Female,21,23,16
18,Female,25,28,36
19,Female,25,22,28
20,Male,20,19,31
21,Male,23,30,37
22,Female,22,27,11
23,Female,19,16,19
24,Male,25,29,22
25,Male,21,19,39
26,Female,23,22,34
27,Male,23,24,30
28,Female,19,23,15
29,Female,25,26,37
30,Male,21,26,37
31,Male,22,26,21
32,Female,18,27,21
33,Female,21,23,29
34,Male,19,27,39
35,Female,23,29,39
36,Male,22,27,20
37,Female,21,15,35
38,Male,18,23,32
39,Male,18,21,37
40,Male,20,23,34
41,Female,20,22,16
42,Female,24,15,39
43,Male,19,26,10
44,Female,25,22,10
45,Male,21,22,34
46,Male,21,29,36
47,Female,25,25,39
48,Female,24,17,34
49,Male,23,15,29
50,Female,23,22,22
51,Female,24,17,18
52,Male,23,17,12
53,Male,20,15,16
54,Female,21,25,15
55,Male,24,19,17
56,Male,21,24,36
57,Female,25,21,18
58,Male,18,24,39
59,Male,20,23,14
60,Female,22,26,10
61,Female,20,21,28
62,Male,24,23,19
63,Male,22,22,21
64,Female,18,26,33
65,Female,24,16,24
66,Female,19,15,36
67,Female,21,30,31
68,Male,18,21,33
69,Female,21,21,18
70,Female,23,28,29
71,Male,19,22,26
72,Female,19,19,39
73,Male,18,17,26
74,Female,19,26,35
75,Female,22,22,29
76,Female,19,20,21
77,Male,21,25,39
78,Male,21,17,16
79,Female,24,15,11
80,Male,21,17,12
81,Male,24,19,26
82,Male,21,29,14
83,Male,22,28,26
84,Male,25,17,33
85,Male,24,15,26
86,Female,20,19,36
87,Female,23,24,26
88,Male,18,21,11
89,Female,21,29,11
90,Female,19,28,37
91,Female,25,21,31
92,Female,21,25,32
93,Male,19,23,14
94,Female,23,29,10
95,Female,23,29,10
96,Male,23,24,28
97,Male,19,24,39
98,Female,21,26,11
99,Female,23,27,30
100,Female,22,17,21
101,Male,33,47,63
102,Male,29,50,57
103,Male,28,40,66
104,Male,34,36,48
105,Male,28,45,69
106,Female,34,41,66
107,Male,27,35,50
108,Female,27,31,66
109,Male,27,38,70
110,Female,31,42,42
111,Female,28,42,59
112,Female,34,35,49
113,Male,29,37,47
114,Male,26,34,44
115,Female,29,36,66
116,Male,26,43,61
117,Female,30,50,58
118,Male,29,45,53
119,Female,33,33,51
120,Female,33,38,69
121,Male,32,50,64
